text,preprocess_texts,preprocess_texts_no_symboll,tokens
RT @MahdiBMP: من از سوم ابتدایی ساعتو به راست میبندم، تو واسه تغییر چارچوب جهانی چیکار کردی؟,من از سوم ابتدایی ساعتو به راست میبندم تو واسه تغییر چارچوب جهانی چیکار کردی,من از سوم ابتدایی ساعتو به راست میبندم تو واسه تغییر چارچوب جهانی چیکار کردی,"['من', 'از', 'سوم', 'ابتدایی', 'ساعتو', 'به', 'راست', 'میبندم', 'تو', 'واسه', 'تغییر', 'چارچوب', 'جهانی', 'چیکار', 'کردی']"
@sanjagh_ یوسف گم گشده؟,یوسف گم گشده,یوسف گم گشده,"['یوسف', 'گم', 'گشده']"
"RT @Sy32931982: گر بخواهی نام تو هم تا ابد
از نکوئی ثبت در دفتر شود
رو جلا زن آیینه از تیرگی
وز عمل، مردانه کن این بندگی

دور باد ظلم وستم…",گر بخواهی نام تو هم تا ابداز نکوئی ثبت در دفتر شودرو جلا زن آیینه از تیرگیوز عمل مردانه کن این بندگیدور باد ظلم وستم,گر بخواهی نام تو هم تا ابداز نکوئی ثبت در دفتر شودرو جلا زن آیینه از تیرگیوز عمل مردانه کن این بندگیدور باد ظلم وستم,"['گر', 'بخواهی', 'نام', 'تو', 'هم', 'تا', 'ابداز', 'نکوئی', 'ثبت', 'در', 'دفتر', 'شودرو', 'جلا', 'زن', 'آیینه', 'از', 'تیرگیوز', 'عمل', 'مردانه', 'کن', 'این', 'بندگیدور', 'باد', 'ظلم', 'وستم']"
"RT @1directionIran: خودتون هواي همو داشته باشين فالو كنين
من هي ريتوييت كنم پست سر هم ممكنه بات محسوب شم

I vote #Louies for #BestFanArmy a…",خودتون هواي همو داشته باشين فالو كنينمن هي ريتوييت كنم پست سر هم ممكنه بات محسوب شمi voe  louies fo  besfanamy a,خودتون هواي همو داشته باشين فالو كنينمن هي ريتوييت كنم پست سر هم ممكنه بات محسوب شمi voe  louies fo  besfanamy a,"['خودتون', 'هواي', 'همو', 'داشته', 'باشين', 'فالو', 'كنينمن', 'هي', 'ريتوييت', 'كنم', 'پست', 'سر', 'هم', 'ممكنه', 'بات', 'محسوب', 'شمi', 'voe', 'louies', 'fo', 'besfanamy', 'a']"
@mbn_re میدونم دوسش ندارم,میدونم دوسش ندارم,میدونم دوسش ندارم,"['میدونم', 'دوسش', 'ندارم']"
و چگونه می‌توان برای برون رفت از این وضعیت به یاری آن ها شتافت؟دپارتمان امور اجتماعی و اقتصادی سازمان ملل متحد گزار… https://t.co/A7hDX31tb3,و چگونه می‌توان برای برون رفت از این وضعیت به یاری آن ها شتافتدپارتمان امور اجتماعی و اقتصادی سازمان ملل متحد گزار,و چگونه میتوان برای برون رفت از این وضعیت به یاری آن ها شتافتدپارتمان امور اجتماعی و اقتصادی سازمان ملل متحد گزار,"['و', 'چگونه', 'میتوان', 'برای', 'برون', 'رفت', 'از', 'این', 'وضعیت', 'به', 'یاری', 'آن', 'ها', 'شتافتدپارتمان', 'امور', 'اجتماعی', 'و', 'اقتصادی', 'سازمان', 'ملل', 'متحد', 'گزار']"
@dacotapheobe وقتی مرکز افکار سنجی بهم پیام میده از بین این کاندیدها کدوم گزینه انتخاب میکنید ولی هر چی میگردم گزینه هیچ کدام نیست😂😂,وقتی مرکز افکار سنجی بهم پیام میده از بین این کاندیدها کدوم گزینه انتخاب میکنید ولی هر چی میگردم گزینه هیچ کدام نیست,وقتی مرکز افکار سنجی بهم پیام میده از بین این کاندیدها کدوم گزینه انتخاب میکنید ولی هر چی میگردم گزینه هیچ کدام نیست,"['وقتی', 'مرکز', 'افکار', 'سنجی', 'بهم', 'پیام', 'میده', 'از', 'بین', 'این', 'کاندیدها', 'کدوم', 'گزینه', 'انتخاب', 'میکنید', 'ولی', 'هر', 'چی', 'میگردم', 'گزینه', 'هیچ', 'کدام', 'نیست']"
RT @saeedghasemi_ir: به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند. #علی_برکت_الله https://t.…,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند  علی برکت الله,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت نام فرمودند  علی برکت الله,"['به', 'لطف', 'خدا', 'جناب', 'اقای', 'حسن', 'روحانی', 'مجددا', 'با', 'شعار', 'دولت', 'تدبیر', 'و', 'امید', 'در', 'انتخابات', 'ثبت', 'نام', 'فرمودند', 'علی', 'برکت', 'الله']"
@PegiOlla بررسی کردی شما 😂😂,بررسی کردی شما,بررسی کردی شما,"['بررسی', 'کردی', 'شما']"
@highlightttt_ حالا یه تایمایی بود تو خونه همه سوالارو بلد بودی میرفتی قبل جلسه بچه ها ازت سوال میپرسیدن بلد نبودی… https://t.co/MENjWMRJgu,حالا یه تایمایی بود تو خونه همه سوالارو بلد بودی میرفتی قبل جلسه بچه ها ازت سوال میپرسیدن بلد نبودی,حالا یه تایمایی بود تو خونه همه سوالارو بلد بودی میرفتی قبل جلسه بچه ها ازت سوال میپرسیدن بلد نبودی,"['حالا', 'یه', 'تایمایی', 'بود', 'تو', 'خونه', 'همه', 'سوالارو', 'بلد', 'بودی', 'میرفتی', 'قبل', 'جلسه', 'بچه', 'ها', 'ازت', 'سوال', 'میپرسیدن', 'بلد', 'نبودی']"
"RT @Rahill04851640: نتیجه انتخابات باید «تحول» واقعی یعنی بازگرداندن امید و نشاط به زندگی مردم باشد.
#رئیسی_متشکریم",نتیجه انتخابات باید «تحول» واقعی یعنی بازگرداندن امید و نشاط به زندگی مردم باشد رئیسی متشکریم,نتیجه انتخابات باید «تحول» واقعی یعنی بازگرداندن امید و نشاط به زندگی مردم باشد رئیسی متشکریم,"['نتیجه', 'انتخابات', 'باید', '«', 'تحول', '»', 'واقعی', 'یعنی', 'بازگرداندن', 'امید', 'و', 'نشاط', 'به', 'زندگی', 'مردم', 'باشد', 'رئیسی', 'متشکریم']"
خاک بر سر هرکسی که رای بده، دموکراسی هم نداریم دیگه تموم شده.,خاک بر سر هرکسی که رای بده دموکراسی هم نداریم دیگه تموم شده,خاک بر سر هرکسی که رای بده دموکراسی هم نداریم دیگه تموم شده,"['خاک', 'بر', 'سر', 'هرکسی', 'که', 'رای', 'بده', 'دموکراسی', 'هم', 'نداریم', 'دیگه', 'تموم', 'شده']"
"ایشون دکترا دارن از دانشگاه منچستر
ببینید چه سخنی تلاوت کرده😂🤦‍♂️ https://t.co/gSA4dzVjjD",ایشون دکترا دارن از دانشگاه منچسترببینید چه سخنی تلاوت کرده‍♂️,ایشون دکترا دارن از دانشگاه منچسترببینید چه سخنی تلاوت کرده,"['ایشون', 'دکترا', 'دارن', 'از', 'دانشگاه', 'منچسترببینید', 'چه', 'سخنی', 'تلاوت', 'کرده']"
@lls_k_shll ولی من هنوز ازدواج نکرده، از مادر شوهر و این‌که دوستم نداشته باشه و یا باهام بدجنسی کنه میترسم بس‌که بد شنیدم :(,ولی من هنوز ازدواج نکرده از مادر شوهر و این‌که دوستم نداشته باشه و یا باهام بدجنسی کنه میترسم بس‌که بد شنیدم,ولی من هنوز ازدواج نکرده از مادر شوهر و اینکه دوستم نداشته باشه و یا باهام بدجنسی کنه میترسم بسکه بد شنیدم,"['ولی', 'من', 'هنوز', 'ازدواج', 'نکرده', 'از', 'مادر', 'شوهر', 'و', 'اینکه', 'دوستم', 'نداشته', 'باشه', 'و', 'یا', 'باهام', 'بدجنسی', 'کنه', 'میترسم', 'بسکه', 'بد', 'شنیدم']"
"RT @sobhan_70: چیزی که چهارسال پیش نتونستیم به دست بیاریم امسال با قدرت به دست میاریم #برای_مردم 
من  از چهار سال پیش خدمت شما ارادت داشت ح…",چیزی که چهارسال پیش نتونستیم به دست بیاریم امسال با قدرت به دست میاریم  برای مردم من از چهار سال پیش خدمت شما ارادت داشت ح,چیزی که چهارسال پیش نتونستیم به دست بیاریم امسال با قدرت به دست میاریم  برای مردم من از چهار سال پیش خدمت شما ارادت داشت ح,"['چیزی', 'که', 'چهارسال', 'پیش', 'نتونستیم', 'به', 'دست', 'بیاریم', 'امسال', 'با', 'قدرت', 'به', 'دست', 'میاریم', 'برای', 'مردم', 'من', 'از', 'چهار', 'سال', 'پیش', 'خدمت', 'شما', 'ارادت', 'داشت', 'ح']"
"RT @mraoofi133: لالا کن دختر زیبای شبنم
لالا کن روی زانوی شقایق
بخواب تا رنگ بی مهری نبینی
تو بیداری اه که تلخ اه لالایی

پ ن: این کودک زیب…",لالا کن دختر زیبای شبنملالا کن روی زانوی شقایقبخواب تا رنگ بی مهری نبینیتو بیداری اه که تلخ اه لالاییپ ن این کودک زیب,لالا کن دختر زیبای شبنملالا کن روی زانوی شقایقبخواب تا رنگ بی مهری نبینیتو بیداری اه که تلخ اه لالاییپ ن این کودک زیب,"['لالا', 'کن', 'دختر', 'زیبای', 'شبنملالا', 'کن', 'روی', 'زانوی', 'شقایقبخواب', 'تا', 'رنگ', 'بی', 'مهری', 'نبینیتو', 'بیداری', 'اه', 'که', 'تلخ', 'اه', 'لالاییپ', 'ن', 'این', 'کودک', 'زیب']"
@saeedsamadzadeh @domighaemi این دیگه فیو استاره😎☝🏼,این دیگه فیو استاره☝,این دیگه فیو استاره,"['این', 'دیگه', 'فیو', 'استاره']"
"RT @1directionIran: من يكم با مكث توييت ميزنم توييتر گل فك نكنه رباتم تعداد توييت هامون بالا بوده

I vote #Louies for #BestFanArmy at #iHea…",من يكم با مكث توييت ميزنم توييتر گل فك نكنه رباتم تعداد توييت هامون بالا بودهi voe  louies fo  besfanamy a  ihea,من يكم با مكث توييت ميزنم توييتر گل فك نكنه رباتم تعداد توييت هامون بالا بودهi voe  louies fo  besfanamy a  ihea,"['من', 'يكم', 'با', 'مكث', 'توييت', 'ميزنم', 'توييتر', 'گل', 'فك', 'نكنه', 'رباتم', 'تعداد', 'توييت', 'هامون', 'بالا', 'بودهi', 'voe', 'louies', 'fo', 'besfanamy', 'a', 'ihea']"
درسته که از این شنبه شروع نکردم ولی این دلیل نمی‌شه که از شنبه بعد شروع نکنم، شاید ایشالا از شنبه بعد شروع کنم شاید,درسته که از این شنبه شروع نکردم ولی این دلیل نمی‌شه که از شنبه بعد شروع نکنم شاید ایشالا از شنبه بعد شروع کنم شاید,درسته که از این شنبه شروع نکردم ولی این دلیل نمیشه که از شنبه بعد شروع نکنم شاید ایشالا از شنبه بعد شروع کنم شاید,"['درسته', 'که', 'از', 'این', 'شنبه', 'شروع', 'نکردم', 'ولی', 'این', 'دلیل', 'نمیشه', 'که', 'از', 'شنبه', 'بعد', 'شروع', 'نکنم', 'شاید', 'ایشالا', 'از', 'شنبه', 'بعد', 'شروع', 'کنم', 'شاید']"
نذار دیر بشه...نذار نبودن و دوریت رخنه کنه توی وجودش،نذار عادت کنه به انتظار که از بعدش دیگه نمیتونه بودنت رو بپذیره!,نذار دیر بشهنذار نبودن و دوریت رخنه کنه توی وجودشنذار عادت کنه به انتظار که از بعدش دیگه نمیتونه بودنت رو بپذیره,نذار دیر بشهنذار نبودن و دوریت رخنه کنه توی وجودشنذار عادت کنه به انتظار که از بعدش دیگه نمیتونه بودنت رو بپذیره,"['نذار', 'دیر', 'بشهنذار', 'نبودن', 'و', 'دوریت', 'رخنه', 'کنه', 'توی', 'وجودشنذار', 'عادت', 'کنه', 'به', 'انتظار', 'که', 'از', 'بعدش', 'دیگه', 'نمیتونه', 'بودنت', 'رو', 'بپذیره']"
"@Rzaoioi آقا خیلی لطف کردین🙏🙏🌸
ایشاله در شادیهات جبران کنم
همیشه پاینده و موفق باشین",آقا خیلی لطف کردینایشاله در شادیهات جبران کنمهمیشه پاینده و موفق باشین,آقا خیلی لطف کردینایشاله در شادیهات جبران کنمهمیشه پاینده و موفق باشین,"['آقا', 'خیلی', 'لطف', 'کردینایشاله', 'در', 'شادیهات', 'جبران', 'کنمهمیشه', 'پاینده', 'و', 'موفق', 'باشین']"
@a3dHo3yn @kian1024 اینجا هم عرض کردم مقایسه کسب و کار «خدماتی» که «مجبور» به حضور در ش‌م‌ا است با کسب و کار «زیرسا… https://t.co/88uPfNrlqW,اینجا هم عرض کردم مقایسه کسب و کار «خدماتی» که «مجبور» به حضور در ش‌م‌ا است با کسب و کار «زیرسا,اینجا هم عرض کردم مقایسه کسب و کار «خدماتی» که «مجبور» به حضور در شما است با کسب و کار «زیرسا,"['اینجا', 'هم', 'عرض', 'کردم', 'مقایسه', 'کسب', 'و', 'کار', '«', 'خدماتی', '»', 'که', '«', 'مجبور', '»', 'به', 'حضور', 'در', 'شما', 'است', 'با', 'کسب', 'و', 'کار', '«', 'زیرسا']"
"RT @s0wheil: وانمود کردن به اینکه ناراحت نیستی 
از اون چیزی که ناراحتت کرده، ناراحت کننده تره :)",وانمود کردن به اینکه ناراحت نیستی از اون چیزی که ناراحتت کرده ناراحت کننده تره,وانمود کردن به اینکه ناراحت نیستی از اون چیزی که ناراحتت کرده ناراحت کننده تره,"['وانمود', 'کردن', 'به', 'اینکه', 'ناراحت', 'نیستی', 'از', 'اون', 'چیزی', 'که', 'ناراحتت', 'کرده', 'ناراحت', 'کننده', 'تره']"
@ariya_rasa میدونی خیلی خوشحالم تو و بهار رو تو زندگیم دارم.واقعا بردم این دنیارو:),میدونی خیلی خوشحالم تو و بهار رو تو زندگیم دارمواقعا بردم این دنیارو,میدونی خیلی خوشحالم تو و بهار رو تو زندگیم دارمواقعا بردم این دنیارو,"['میدونی', 'خیلی', 'خوشحالم', 'تو', 'و', 'بهار', 'رو', 'تو', 'زندگیم', 'دارمواقعا', 'بردم', 'این', 'دنیارو']"
"RT @Dokhtare_Sahara: خطاب به اصلاحطلبان شیاد!
طبق قانون اساسی ج.ا هر اصلاحاتی پس از تصویب مجلس باید به تصویب شورانگهبان برسد تا مبادا برخلا…",خطاب به اصلاحطلبان شیادطبق قانون اساسی جا هر اصلاحاتی پس از تصویب مجلس باید به تصویب شورانگهبان برسد تا مبادا برخلا,خطاب به اصلاحطلبان شیادطبق قانون اساسی جا هر اصلاحاتی پس از تصویب مجلس باید به تصویب شورانگهبان برسد تا مبادا برخلا,"['خطاب', 'به', 'اصلاحطلبان', 'شیادطبق', 'قانون', 'اساسی', 'جا', 'هر', 'اصلاحاتی', 'پس', 'از', 'تصویب', 'مجلس', 'باید', 'به', 'تصویب', 'شورانگهبان', 'برسد', 'تا', 'مبادا', 'برخلا']"
@l_never_forget امیدواریم که همین بوده باشه 🙏🏼,امیدواریم که همین بوده باشه,امیدواریم که همین بوده باشه,"['امیدواریم', 'که', 'همین', 'بوده', 'باشه']"
"RT @khanoom75: بخاطرِ تحققِ هرچه بهترِ گام دوم انقلاب آمد
#رئيسی_متشکریم",بخاطرِ تحققِ هرچه بهترِ گام دوم انقلاب آمد رئيسی متشکریم,بخاطرِ تحققِ هرچه بهترِ گام دوم انقلاب آمد رئيسی متشکریم,"['بخاطرِ', 'تحققِ', 'هرچه', 'بهترِ', 'گام', 'دوم', 'انقلاب', 'آمد', 'رئيسی', 'متشکریم']"
@Sahraa_k اتفاقاشجاعی عالیه,اتفاقاشجاعی عالیه,اتفاقاشجاعی عالیه,"['اتفاقاشجاعی', 'عالیه']"
@Yashar_mmz بیلمیم دارخماخ باسدی دوردوم گلدم 😂,بیلمیم دارخماخ باسدی دوردوم گلدم,بیلمیم دارخماخ باسدی دوردوم گلدم,"['بیلمیم', 'دارخماخ', 'باسدی', 'دوردوم', 'گلدم']"
@Sara_n_z_a @Jaghead_ @BTS_twt چرا نمیتونم ریت کنم؟ 🥺,چرا نمیتونم ریت کنم,چرا نمیتونم ریت کنم,"['چرا', 'نمیتونم', 'ریت', 'کنم']"
"RT @Aligh_Official: دلم فتاده به دام و ره فرار ندارد

ره فرار نه و طاقت قرار ندارد...

#سیمین_بهبهانی…",دلم فتاده به دام و ره فرار نداردره فرار نه و طاقت قرار ندارد سیمین بهبهانی,دلم فتاده به دام و ره فرار نداردره فرار نه و طاقت قرار ندارد سیمین بهبهانی,"['دلم', 'فتاده', 'به', 'دام', 'و', 'ره', 'فرار', 'نداردره', 'فرار', 'نه', 'و', 'طاقت', 'قرار', 'ندارد', 'سیمین', 'بهبهانی']"
"RT @Sarbaze83062554: اگر منو تو در قبال ظلمی که به صبا کرد افشاری ها وارد شده است سکوت کنیم، همدست ظالم هستیم ...
#SabaHungerStrike

#نه‌_ب…",اگر منو تو در قبال ظلمی که به صبا کرد افشاری ها وارد شده است سکوت کنیم همدست ظالم هستیم  sabahungesike نه‌ ب,اگر منو تو در قبال ظلمی که به صبا کرد افشاری ها وارد شده است سکوت کنیم همدست ظالم هستیم  sabahungesike نه ب,"['اگر', 'منو', 'تو', 'در', 'قبال', 'ظلمی', 'که', 'به', 'صبا', 'کرد', 'افشاری', 'ها', 'وارد', 'شده_است', 'سکوت', 'کنیم', 'همدست', 'ظالم', 'هستیم', 'sabahungesike', 'نه', 'ب']"
"@Mamlips پس چی چک میکنن؟!
با این همه تجهیزات اگه اشتباه کنن دیگه واقعا مشکوکه😑😐",پس چی چک میکننبا این همه تجهیزات اگه اشتباه کنن دیگه واقعا مشکوکه,پس چی چک میکننبا این همه تجهیزات اگه اشتباه کنن دیگه واقعا مشکوکه,"['پس', 'چی', 'چک', 'میکننبا', 'این', 'همه', 'تجهیزات', 'اگه', 'اشتباه', 'کنن', 'دیگه', 'واقعا', 'مشکوکه']"
@reza66449628 @farna316 حکم حکومتی خواهیم گرفت 😅,حکم حکومتی خواهیم گرفت,حکم حکومتی خواهیم گرفت,"['حکم', 'حکومتی', 'خواهیم_گرفت']"
دیگه واقعا دلیلی برای ادامه دادن نمیبینم.,دیگه واقعا دلیلی برای ادامه دادن نمیبینم,دیگه واقعا دلیلی برای ادامه دادن نمیبینم,"['دیگه', 'واقعا', 'دلیلی', 'برای', 'ادامه', 'دادن', 'نمیبینم']"
@leon_thewolf @Mozhoo4784 @fatemiseyed1 😂😂اعع پسرا هم میدونن,اعع پسرا هم میدونن,اعع پسرا هم میدونن,"['اعع', 'پسرا', 'هم', 'میدونن']"
"RT @TARAZ000: #محسن_رضایی تنها کسی ست که برای ایران تئوری اقتصادی دارد
#آقامحسن_ایران 
#اقدام_و_تحول https://t.co/9IXxlHuL0o",محسن رضایی تنها کسی ست که برای ایران تئوری اقتصادی دارد آقا محسن ایران  اقدام و تحول,محسن رضایی تنها کسی ست که برای ایران تئوری اقتصادی دارد آقا محسن ایران  اقدام و تحول,"['محسن', 'رضایی', 'تنها', 'کسی', 'ست', 'که', 'برای', 'ایران', 'تئوری', 'اقتصادی', 'دارد', 'آقا', 'محسن', 'ایران', 'اقدام', 'و', 'تحول']"
RT @dr_abdolmaleki: امروز معاون اول و مقامات اقتصادی دولت روحانی با در دست داشتن «برنامه‌هایی جدی!» برای رفع معضلات اقتصادی و نجات کشور «از…,امروز معاون اول و مقامات اقتصادی دولت روحانی با در دست داشتن «برنامه‌هایی جدی» برای رفع معضلات اقتصادی و نجات کشور «از,امروز معاون اول و مقامات اقتصادی دولت روحانی با در دست داشتن «برنامههایی جدی» برای رفع معضلات اقتصادی و نجات کشور «از,"['امروز', 'معاون', 'اول', 'و', 'مقامات', 'اقتصادی', 'دولت', 'روحانی', 'با', 'در', 'دست', 'داشتن', '«', 'برنامههایی', 'جدی', '»', 'برای', 'رفع', 'معضلات', 'اقتصادی', 'و', 'نجات', 'کشور', '«', 'از']"
بعد گل چلسی انقد داد زدم گلوم درد گرفت تموم فریاد هایی که سر دربی نزدمو اینجا خالی کردم اما امان از این شانس بد...,بعد گل چلسی انقد داد زدم گلوم درد گرفت تموم فریاد هایی که سر دربی نزدمو اینجا خالی کردم اما امان از این شانس بد,بعد گل چلسی انقد داد زدم گلوم درد گرفت تموم فریاد هایی که سر دربی نزدمو اینجا خالی کردم اما امان از این شانس بد,"['بعد', 'گل', 'چلسی', 'انقد', 'داد', 'زدم', 'گلوم', 'درد', 'گرفت', 'تموم', 'فریاد', 'هایی', 'که', 'سر', 'دربی', 'نزدمو', 'اینجا', 'خالی', 'کردم', 'اما', 'امان', 'از', 'این', 'شانس', 'بد']"
@KMustaf2012 غریزه هست، اما چرا همه داریم بی وفا میشیم,غریزه هست اما چرا همه داریم بی وفا میشیم,غریزه هست اما چرا همه داریم بی وفا میشیم,"['غریزه', 'هست', 'اما', 'چرا', 'همه', 'داریم', 'بی', 'وفا', 'میشیم']"
RT @IranBlackpink: لطفا رای بدید تا پایان رای گیری،، وایجی از دخترا حمایت نمیکنه حتی ی توییتم واسه بیلبورد نزد،، و توییتر بلک پینکم که زده…,لطفا رای بدید تا پایان رای گیری وایجی از دخترا حمایت نمیکنه حتی ی توییتم واسه بیلبورد نزد و توییتر بلک پینکم که زده,لطفا رای بدید تا پایان رای گیری وایجی از دخترا حمایت نمیکنه حتی ی توییتم واسه بیلبورد نزد و توییتر بلک پینکم که زده,"['لطفا', 'رای', 'بدید', 'تا', 'پایان', 'رای', 'گیری', 'وایجی', 'از', 'دخترا', 'حمایت', 'نمیکنه', 'حتی', 'ی', 'توییتم', 'واسه', 'بیلبورد', 'نزد', 'و', 'توییتر', 'بلک', 'پینکم', 'که', 'زده']"
@hosseyni92 عالی یا علی,عالی یا علی,عالی یا علی,"['عالی', 'یا', 'علی']"
"RT @realpsacy: @EXOBBHLELNAZ @weareoneEXO @B_hundred_Hyun @layzhang فک کنم روزی ک لیمیت شدم توییت زدم
تاریخشو میبینم الان^^
@weareoneEXO @B…",فک کنم روزی ک لیمیت شدم توییت زدمتاریخشو میبینم الان,فک کنم روزی ک لیمیت شدم توییت زدمتاریخشو میبینم الان,"['فک', 'کنم', 'روزی', 'ک', 'لیمیت', 'شدم', 'توییت', 'زدمتاریخشو', 'میبینم', 'الان']"
RT @bbcpersian: در حمله اسرائیل به غزه ساختمانی با خاک یکسان شد که دفتر خبرگزاری آسوشیتدپرس و تلویزیون الجزیره در آن قرار داشت. فواد مسیحا…,در حمله اسرائیل به غزه ساختمانی با خاک یکسان شد که دفتر خبرگزاری آسوشیتدپرس و تلویزیون الجزیره در آن قرار داشت فواد مسیحا,در حمله اسرائیل به غزه ساختمانی با خاک یکسان شد که دفتر خبرگزاری آسوشیتدپرس و تلویزیون الجزیره در آن قرار داشت فواد مسیحا,"['در', 'حمله', 'اسرائیل', 'به', 'غزه', 'ساختمانی', 'با', 'خاک', 'یکسان', 'شد', 'که', 'دفتر', 'خبرگزاری', 'آسوشیتدپرس', 'و', 'تلویزیون', 'الجزیره', 'در', 'آن', 'قرار', 'داشت', 'فواد', 'مسیحا']"
"RT @AMahmoodi1377: #محسن_رضایی تنها شخصیت سیاسیه که میتونه حسرت بخوره مردم درکش نکردن چون تنها کاندیدای بابرنامه انتخابات بود و هست 
بقیه ف…",محسن رضایی تنها شخصیت سیاسیه که میتونه حسرت بخوره مردم درکش نکردن چون تنها کاندیدای بابرنامه انتخابات بود و هست بقیه ف,محسن رضایی تنها شخصیت سیاسیه که میتونه حسرت بخوره مردم درکش نکردن چون تنها کاندیدای بابرنامه انتخابات بود و هست بقیه ف,"['محسن', 'رضایی', 'تنها', 'شخصیت', 'سیاسیه', 'که', 'میتونه', 'حسرت', 'بخوره', 'مردم', 'درکش', 'نکردن', 'چون', 'تنها', 'کاندیدای', 'بابرنامه', 'انتخابات', 'بود', 'و', 'هست', 'بقیه', 'ف']"
RT @ebrahimiavval: خدایا بحق این وقت اذان تقدیر کن کسی که میتونه این بار سنگین رو از روی دوش مردم برداره و کاری برای مردم محروم بکنه، رئیس…,خدایا بحق این وقت اذان تقدیر کن کسی که میتونه این بار سنگین رو از روی دوش مردم برداره و کاری برای مردم محروم بکنه رئیس,خدایا بحق این وقت اذان تقدیر کن کسی که میتونه این بار سنگین رو از روی دوش مردم برداره و کاری برای مردم محروم بکنه رئیس,"['خدایا', 'بحق', 'این', 'وقت', 'اذان', 'تقدیر', 'کن', 'کسی', 'که', 'میتونه', 'این', 'بار', 'سنگین', 'رو', 'از', 'روی', 'دوش', 'مردم', 'برداره', 'و', 'کاری', 'برای', 'مردم', 'محروم', 'بکنه', 'رئیس']"
"RT @1directionIran: من بايد كم ريتوييت كنم چون اكانتمون ميترسم بتركه امااا همتون ريپلاي هاتون كيوت ترينه 🤍

I vote #Louies for #BestFanArmy…",من بايد كم ريتوييت كنم چون اكانتمون ميترسم بتركه امااا همتون ريپلاي هاتون كيوت ترينه i voe  louies fo  besfanamy,من بايد كم ريتوييت كنم چون اكانتمون ميترسم بتركه امااا همتون ريپلاي هاتون كيوت ترينه i voe  louies fo  besfanamy,"['من', 'بايد', 'كم', 'ريتوييت', 'كنم', 'چون', 'اكانتمون', 'ميترسم', 'بتركه', 'امااا', 'همتون', 'ريپلاي', 'هاتون', 'كيوت', 'ترينه', 'i', 'voe', 'louies', 'fo', 'besfanamy']"
@MiM_v_ نه وایسا هنوز مونده,نه وایسا هنوز مونده,نه وایسا هنوز مونده,"['نه', 'وایسا', 'هنوز', 'مونده']"
@zet_rom ممنونم، خیره ان‌شاءالله.,ممنونم خیره ان‌شاءالله,ممنونم خیره انشاءالله,"['ممنونم', 'خیره', 'انشاءالله']"
@elle_melil @BTS_twt تو عشقمی چون,تو عشقمی چون,تو عشقمی چون,"['تو', 'عشقمی', 'چون']"
RT @mojtabaroosta12: فکر کنم دهباشی این دوره مشاور لاریجانی شده. مرتیکه ............ اومده میگه اداره کشور نه دادگاه هست نه پادگان.کنایه به…,فکر کنم دهباشی این دوره مشاور لاریجانی شده مرتیکه  اومده میگه اداره کشور نه دادگاه هست نه پادگانکنایه به,فکر کنم دهباشی این دوره مشاور لاریجانی شده مرتیکه  اومده میگه اداره کشور نه دادگاه هست نه پادگانکنایه به,"['فکر', 'کنم', 'دهباشی', 'این', 'دوره', 'مشاور', 'لاریجانی', 'شده', 'مرتیکه', 'اومده', 'میگه', 'اداره', 'کشور', 'نه', 'دادگاه', 'هست', 'نه', 'پادگانکنایه', 'به']"
RT @Officialfarhad4: #نظرسنجی: تکلیف نامزدهای #انتخابات1400 تقریبا روشن شده.از بین این نامزدها شما به کدام مورد رای میدهید؟لطفا #ریتوییت کن…,نظرسنجی تکلیف نامزدهای  انتخابات1400 تقریبا روشن شدهاز بین این نامزدها شما به کدام مورد رای میدهیدلطفا  ریتوییت کن,نظرسنجی تکلیف نامزدهای  انتخابات1400 تقریبا روشن شدهاز بین این نامزدها شما به کدام مورد رای میدهیدلطفا  ریتوییت کن,"['نظرسنجی', 'تکلیف', 'نامزدهای', 'انتخابات', '1400', 'تقریبا', 'روشن', 'شدهاز', 'بین', 'این', 'نامزدها', 'شما', 'به', 'کدام', 'مورد', 'رای', 'میدهیدلطفا', 'ریتوییت', 'کن']"
@worl_d_20 چطور تو تیم گرونگان گیرایی؟😐😂,چطور تو تیم گرونگان گیرایی,چطور تو تیم گرونگان گیرایی,"['چطور', 'تو', 'تیم', 'گرونگان', 'گیرایی']"
"RT @malike_m69: کاندیدای پوششی 
وظیفش کاملا مشخصه فرقی نمیکنه روحانی باشه یا لاریجانی
هوشیار باشیم تا ۸ سال قبل  تکرار نشه   و إن‌شاالله #د…",کاندیدای پوششی وظیفش کاملا مشخصه فرقی نمیکنه روحانی باشه یا لاریجانیهوشیار باشیم تا ۸ سال قبل تکرار نشه و إن‌شاالله  د,کاندیدای پوششی وظیفش کاملا مشخصه فرقی نمیکنه روحانی باشه یا لاریجانیهوشیار باشیم تا ۸ سال قبل تکرار نشه و إنشاالله  د,"['کاندیدای', 'پوششی', 'وظیفش', 'کاملا', 'مشخصه', 'فرقی', 'نمیکنه', 'روحانی', 'باشه', 'یا', 'لاریجانیهوشیار', 'باشیم', 'تا', '۸', 'سال', 'قبل', 'تکرار', 'نشه', 'و', 'إنشاالله', 'د']"
